year	total_poverty	child_poverty	child_poverty_pct	aged_poverty	aged_poverty_pct
2015	"43,123"	"13,962"	32.4	"4,201"	9.7
2014	"46,657"	"14,987"	32.1	"4,590"	9.8
2013 (19)	"46,269"	"15,116"	32.7	"4,569"	9.9
2013 (18)	"45,318"	"14,142"	31.2	"4,231"	9.3
2012	"46,496"	"15,437"	33.2	"3,926"	8.4
2011	"46,247"	"15,539"	33.6	"3,620"	7.8
2010 (17)	"46,343"	"15,598"	33.7	"3,558"	7.7
2009	"43,569"	"14,774"	33.9	"3,433"	7.9
2008	"39,829"	"13,507"	33.9	"3,656"	9.2
2007	"37,276"	"12,802"	34.3	"3,556"	9.5
2006	"36,460"	"12,299"	33.7	"3,394"	9.3
2005	"36,950"	"12,335"	33.4	"3,603"	9.8
2004 (14)	"37,040"	"12,473"	33.7	"3,453"	9.3
2003	"35,861"	"12,340"	34.4	"3,552"	9.9
2002	"34,570"	"11,646"	33.7	"3,576"	10.3
2001	"32,907"	"11,175"	34.0	"3,414"	10.4
2000 (12)	"31,581"	"11,005"	34.8	"3,323"	10.5
1999 (11)	"32,791"	"11,678"	35.6	"3,222"	9.8
1998	"34,476"	"12,845"	37.3	"3,386"	9.8
1997	"35,574"	"13,422"	37.7	"3,376"	9.5
1996	"36,529"	"13,764"	37.7	"3,428"	9.4
1995	"36,425"	"13,999"	38.4	"3,318"	9.1
1994	"38,059"	"14,610"	38.4	"3,663"	9.6
1993 (10)	"39,265"	"14,961"	38.1	"3,755"	9.6
1992 (9 )	"38,014"	"14,521"	38.2	"3,928"	10.3
1991 (8 )	"35,708"	"13,658"	38.2	"3,781"	10.6
1990	"33,585"	"12,715"	37.9	"3,658"	10.9
1989	"31,528"	"12,001"	38.1	"3,363"	10.7
1988	"31,745"	"11,935"	37.6	"3,481"	11.0
1987 (7 )	"32,221"	"12,275"	38.1	"3,563"	11.1
1986	"32,370"	"12,257"	37.9	"3,477"	10.7
1985	"33,064"	"12,483"	37.8	"3,456"	10.5
1984	"33,700"	"12,929"	38.4	"3,330"	9.9
1983 (6 )	"35,303"	"13,427"	38.0	"3,625"	10.3
1982	"34,398"	"13,139"	38.2	"3,751"	10.9
1981 (5 )	"31,822"	"12,068"	37.9	"3,853"	12.1
1980	"29,272"	"11,114"	38.0	"3,871"	13.2
1979 (4 )	"26,072"	"9,993"	38.3	"3,682"	14.1
1978	"24,497"	"9,722"	39.7	"3,233"	13.2
1977	"24,720"	"10,028"	40.6	"3,177"	12.9
1976	"24,975"	"10,081"	40.4	"3,313"	13.3
1975	"25,877"	"10,882"	42.1	"3,317"	12.8
1974 (3 )	"23,370"	"9,967"	42.6	"3,085"	13.2
1973	"22,973"	"9,453"	41.1	"3,354"	14.6
1972	"24,460"	"10,082"	41.2	"3,738"	15.3
1971 (2 )	"25,559"	"10,344"	40.5	"4,273"	16.7
1970	"25,420"	"10,235"	40.3	"4,793"	18.9
1969	"24,147"	"9,501"	39.3	"4,787"	19.8
1968	"25,389"	"10,739"	42.3	"4,632"	18.2
1967 (1 )	"27,769"	"11,427"	41.2	"5,388"	19.4
1966	"28,510"	"12,146"	42.6	"5,114"	17.9
1965	"33,185"	"14,388"	43.4	(NA)	(NA)
1964	"36,055"	"15,736"	43.6	(NA)	(NA)
1963	"36,436"	"15,691"	43.1	(NA)	(NA)
1962	"38,625"	"16,630"	43.1	(NA)	(NA)
1961	"39,628"	"16,577"	41.8	(NA)	(NA)
1960	"39,851"	"17,288"	43.4	(NA)	(NA)
1959	"39,490"	"17,208"	43.6	"5,481"	13.9
