year	family_poverty	family_poverty_pct
2015	"8,589"	10.4
2014	"9,467"	11.6
2013	"9,645"	11.7
2012	"9,520"	11.8
2011	"9,497"	11.8
2010	"9,400"	11.8
2009	"8,792"	11.1
2008	"8,147"	10.3
2007	"7,623"	9.8
2006	"7,668"	9.8
2005	"7,657"	9.9
2004	"7,835"	10.2
2003	"7,607"	10.0
2002	"7,229"	9.6
2001	"6,813"	9.2
2000	"6,400"	8.7
1999	"6,792"	9.3
1998	"7,186"	10.0
1997	"7,324"	10.3
1996	"7,708"	11.0
1995	"7,532"	10.8
1994	"8,053"	11.6
1993	"8,393"	12.3
1992	"8,144"	11.9
1991	"7,712"	11.5
1990	"7,098"	10.7
1989	"6,784"	10.3
1988	"6,874"	10.4
1987	"7,005"	10.7
1986	"7,023"	10.9
1985	"7,223"	11.4
1984	"7,277"	11.6
1983	"7,647"	12.3
1982	"7,512"	12.2
1981	"6,851"	11.2
1980	"6,217"	10.3
1979	"5,461"	9.2
1978	"5,280"	9.1
1977	"5,311"	9.3
1976	"5,311"	9.4
1975	"5,450"	9.7
1974	"4,922"	8.8
1973	"4,828"	8.8
1972	"5,075"	9.3
1971	"5,303"	10.0
1970	"5,260"	10.1
1969	"5,008"	9.7
1968	"5,047"	10.0
1967	"5,667"	11.4
1966	"5,784"	11.8
1965	"6,721"	13.9
1964	"7,160"	15.0
1963	"7,554"	15.9
1962	"8,077"	17.2
1961	"8,391"	18.1
1960	"8,243"	18.1
1959	"8,320"	18.5
