Finished,Q1,Q1_7_TEXT,Q2,Q11,Q12,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_11_TEXT,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9
TRUE,Undergraduate Student,,,,,,,,,,,,,,,,Would attend,Might attend,Might attend,Would NOT attend,,Would NOT attend,,Might attend,,Would attend,,,,,,,,,
TRUE,Other,,,,,Womens Studies,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Faculty Member,,,,, ,No,Extremely knowledgeable,Extremely knowledgeable,Extremely knowledgeable,Extremely knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Might attend,Might attend,Might attend,Would attend,Might attend,Would NOT attend,Would NOT attend,Would NOT attend,Might attend,Would attend,,,In-person taught by instructor,"Morning,Midday,Afternoon,Evening",,,,Midday,Facebook
TRUE,Faculty Member,,,,,Accounting,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,,In-person taught by instructor,,,Midday,Evening,,Flyer
TRUE,Undergraduate Student,,Full-time student,Senior,,Mathematics,Yes,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Faculty Member,,,,,Environmental Engineering Sciences,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Faculty Member,,,,,Biostatistics,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Master's Candidate,,Full-time student,,1,Computer and Information Science and Engineering,Yes,Moderately knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Extremely knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Would NOT attend,Would attend,Might attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would NOT attend,Might attend,,,"In-person taught by instructor,Small interest group",Evening,Evening,Evening,Evening,Evening,"E-Mail,Facebook"
TRUE,Undergraduate Student,,Full-time student,Junior,,Industrial and Systems Engineering,Yes,Slightly knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Might attend,Would NOT attend,Would attend,Might attend,Might attend,Would NOT attend,Might attend,Would NOT attend,Would attend,Would NOT attend,Would NOT attend,,"In-person taught by instructor,Small interest group",Evening,Evening,Evening,Evening,None,"E-Mail,Facebook,Flyer"
TRUE,Master's Candidate,,Full-time student,,,Computer and Information Science and Engineering,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Undergraduate Student,,Full-time student,Senior,,Industrial and Systems Engineering,Yes,Extremely knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Moderately knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would NOT attend,Might attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Might attend,,,"In-person taught by instructor,Online information portal,Online video/tutorial or course,Webinar","Afternoon,Evening","Afternoon,Evening","Afternoon,Evening","Afternoon,Evening","Afternoon,Evening","E-Mail,Facebook,Twitter"
TRUE,Master's Candidate,,Full-time student,,1,Information Systems and Operations Management,Yes,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,,,"In-person taught by instructor,Small interest group",Evening,Evening,Evening,Evening,Evening,"E-Mail,Facebook"
