year	tot_num_poverty	pct_total_poverty	race
2015	"17,786"	41.2	white
2014	"19,652"	42.1	white
2013	"19,552"	42.3	white
2012	"18,940"	40.7	white
2011	"19,171"	41.5	white
2010	"19,251"	41.5	white
2009	"18,530"	42.5	white
2008	"17,024"	42.7	white
2007	"16,032"	43.0	white
2006	"16,013"	43.9	white
2005	"16,227"	43.9	white
2004	"16,908"	45.6	white
2003	"15,902"	44.3	white
2002	"15,567"	45.0	white
2015	"10,797"	25.0	black
2014	"11,581"	24.8	black
2013	"11,959"	26.4	black
2012	"11,809"	25.4	black
2011	"11,730"	25.4	black
2010	"11,597"	25.0	black
2009	"10,575"	24.3	black
2008	"9,882"	24.8	black
2007	"9,668"	25.9	black
2006	"9,447"	25.9	black
2005	"9,517"	25.8	black
2004	"9,411"	25.4	black
2003	"9,108"	25.4	black
2002	"8,884"	25.7	black
2015	"12,133"	28.1	hispanic
2014	"13,104"	28.1	hispanic
2013	"13,356"	28.9	hispanic
2012	"13,616"	29.3	hispanic
2011	"13,244"	28.6	hispanic
2010	"13,522"	29.2	hispanic
2009	"12,350"	28.3	hispanic
2008	"10,987"	27.6	hispanic
2007	"9,890"	26.5	hispanic
2006	"9,243"	25.4	hispanic
2005	"9,368"	25.4	hispanic
2004	"9,122"	24.6	hispanic
2003	"9,051"	25.2	hispanic
2002	"8,555"	24.7	hispanic
2015	"2,078"	4.8	asian
2014	"2,137"	4.6	asian
2013	"2,255"	4.9	asian
2012	"1,921"	4.1	asian
2011	"1,973"	4.3	asian
2010	"1,899"	4.1	asian
2009	"1,746"	4.0	asian
2008	"1,576"	4.0	asian
2007	"1,349"	3.6	asian
2006	"1,353"	3.7	asian
2005	"1,402"	3.8	asian
2004	"1,201"	3.2	asian
2003	"1,401"	3.9	asian
2002	"1,161"	3.4	asian
